Age_Group,State,Year,deaths,population
0-24,Alabama,1999,1663,1562039
0-24,Alabama,2000,1539,1563034
0-24,Alabama,2001,1532,1568372
0-24,Alabama,2002,1513,1567247
0-24,Alabama,2003,1446,1569632
0-24,Alabama,2004,1535,1571596
0-24,Alabama,2005,1509,1575399
0-24,Alabama,2006,1639,1585912
0-24,Alabama,2007,1671,1595292
0-24,Alabama,2008,1537,1605358
0-24,Alabama,2009,1367,1611076
0-24,Alabama,2010,1372,1611634
0-24,Alabama,2011,1358,1612023
0-24,Alabama,2012,1320,1609347
0-24,Alabama,2013,1317,1597199
0-24,Alabama,2014,1313,1587407
0-24,Alabama,2015,1327,1572156
0-24,Alabama,2016,1448,1556439
0-24,Alabama,2017,1296,1551702
0-24,Alabama,2018,1271,1542498
0-24,Alaska,1999,181,192300
0-24,Alaska,2000,238,194238
0-24,Alaska,2001,224,199233
0-24,Alaska,2002,197,203823
0-24,Alaska,2003,249,255096
0-24,Alaska,2004,252,210191
0-24,Alaska,2005,197,172722
0-24,Alaska,2006,232,220723
0-24,Alaska,2007,243,258727
0-24,Alaska,2008,210,210098
0-24,Alaska,2009,219,208753
0-24,Alaska,2010,204,211372
0-24,Alaska,2011,198,213530
0-24,Alaska,2012,177,164893
0-24,Alaska,2013,209,270459
0-24,Alaska,2014,200,166595
0-24,Alaska,2015,245,266889
0-24,Alaska,2016,233,209525
0-24,Alaska,2017,239,257137
0-24,Alaska,2018,194,254193
0-24,Arizona,1999,1431,1831323
0-24,Arizona,2000,1522,1881048
0-24,Arizona,2001,1648,1935033
0-24,Arizona,2002,1624,1977345
0-24,Arizona,2003,1658,2013530
0-24,Arizona,2004,1713,2055650
0-24,Arizona,2005,1825,2109509
0-24,Arizona,2006,1900,2166853
0-24,Arizona,2007,1866,2213755
0-24,Arizona,2008,1663,2250102
0-24,Arizona,2009,1495,2256781
0-24,Arizona,2010,1435,2262225
0-24,Arizona,2011,1426,2269619
0-24,Arizona,2012,1426,2273845
0-24,Arizona,2013,1377,2283092
0-24,Arizona,2014,1404,2293512
0-24,Arizona,2015,1343,2295284
0-24,Arizona,2016,1443,2303760
0-24,Arizona,2017,1444,2305933
0-24,Arizona,2018,1555,2330053
0-24,Arkansas,1999,858,942027
0-24,Arkansas,2000,902,942107
0-24,Arkansas,2001,879,947737
0-24,Arkansas,2002,920,951001
0-24,Arkansas,2003,898,954701
0-24,Arkansas,2004,920,958945
0-24,Arkansas,2005,921,964226
0-24,Arkansas,2006,956,971724
0-24,Arkansas,2007,907,978062
0-24,Arkansas,2008,873,984560
