Age_Group,State,Year,Deaths,Population,KFF_opioid_deaths,%_opioid_deaths
0-24,Alabama,2009,1367,1611076,28.0,2.04828090709583
0-24,Alabama,2010,1372,1611634,24.0,1.749271137026239
0-24,Alabama,2011,1358,1612023,23.0,1.6936671575846833
0-24,Alabama,2012,1320,1609347,18.0,1.3636363636363635
0-24,Alabama,2013,1317,1597199,20.0,1.518602885345482
0-24,Alabama,2014,1313,1587407,25.0,1.904036557501904
0-24,Alabama,2015,1327,1572156,25.0,1.8839487565938209
0-24,Alabama,2016,1448,1556439,37.0,2.5552486187845305
0-24,Alabama,2017,1296,1551702,31.0,2.391975308641975
0-24,Alabama,2018,1271,1542498,27.0,2.1243115656963023
0-24,Alaska,2009,219,208753,12.0,5.47945205479452
0-24,Alaska,2012,177,164893,13.0,7.344632768361582
0-24,Alaska,2014,200,166595,12.0,6.0
0-24,Alaska,2015,245,266889,16.0,6.530612244897959
0-24,Alaska,2016,233,209525,13.0,5.579399141630901
0-24,Arizona,2009,1495,2256781,81.0,5.418060200668896
0-24,Arizona,2010,1435,2262225,86.0,5.993031358885018
0-24,Arizona,2011,1426,2269619,77.0,5.399719495091164
0-24,Arizona,2012,1426,2273845,61.0,4.277699859747545
0-24,Arizona,2013,1377,2283092,69.0,5.010893246187364
0-24,Arizona,2014,1404,2293512,62.0,4.415954415954416
0-24,Arizona,2015,1343,2295284,79.0,5.88235294117647
0-24,Arizona,2016,1443,2303760,108.0,7.484407484407485
0-24,Arizona,2017,1444,2305933,118.0,8.171745152354571
0-24,Arizona,2018,1555,2330053,185.0,11.89710610932476
0-24,Arkansas,2009,829,989839,32.0,3.8600723763570564
0-24,Arkansas,2010,780,995580,30.0,3.8461538461538463
0-24,Arkansas,2011,779,996104,21.0,2.6957637997432604
0-24,Arkansas,2012,806,997573,25.0,3.101736972704715
0-24,Arkansas,2013,765,998189,24.0,3.1372549019607843
0-24,Arkansas,2014,742,993583,17.0,2.2911051212938007
0-24,Arkansas,2015,784,989441,18.0,2.295918367346939
0-24,Arkansas,2016,785,986791,13.0,1.6560509554140128
0-24,Arkansas,2017,825,986888,20.0,2.4242424242424243
0-24,Arkansas,2018,784,983758,23.0,2.933673469387755
0-24,California,2009,6966,13176846,155.0,2.2250933103646284
0-24,California,2010,6441,13217991,201.0,3.12063344201211
0-24,California,2011,6411,13246756,208.0,3.2444236468569643
0-24,California,2012,6096,13261462,170.0,2.788713910761155
0-24,California,2013,6285,13184493,177.0,2.8162291169451072
0-24,California,2014,5924,13147585,178.0,3.0047265361242403
0-24,California,2015,6058,13056018,179.0,2.954770551337075
0-24,California,2016,6150,12941650,212.0,3.447154471544715
0-24,California,2017,5937,12859088,208.0,3.5034529223513555
0-24,California,2018,5644,12735350,226.0,4.004252303330971
0-24,Colorado,2009,1077,1702523,52.0,4.828226555246054
0-24,Colorado,2010,1025,1713307,38.0,3.7073170731707314
0-24,Colorado,2011,979,1730852,58.0,5.9244126659857
0-24,Colorado,2012,903,1738028,44.0,4.87264673311185
0-24,Colorado,2013,969,1753223,67.0,6.9143446852425186
0-24,Colorado,2014,936,1769770,46.0,4.914529914529915
0-24,Colorado,2015,977,1788147,43.0,4.401228249744114
0-24,Colorado,2016,1041,1795503,67.0,6.43611911623439
0-24,Colorado,2017,1002,1783063,57.0,5.688622754491018
0-24,Colorado,2018,1018,1792063,60.0,5.893909626719057
0-24,Connecticut,2009,549,1145982,27.0,4.918032786885246
0-24,Connecticut,2010,536,1143674,25.0,4.664179104477612
0-24,Connecticut,2011,537,1134348,34.0,6.33147113594041
0-24,Connecticut,2012,530,1130626,25.0,4.716981132075472
0-24,Connecticut,2013,503,1129457,45.0,8.946322067594433
0-24,Connecticut,2014,462,1125482,45.0,9.740259740259742
0-24,Connecticut,2015,497,1116274,63.0,12.676056338028168
0-24,Connecticut,2016,482,1105318,60.0,12.448132780082988
0-24,Connecticut,2017,515,1096009,90.0,17.475728155339805
0-24,Connecticut,2018,467,1082062,68.0,14.5610278372591
0-24,Delaware,2009,204,250762,12.0,5.88235294117647
0-24,Delaware,2011,194,182883,15.0,7.731958762886598
0-24,Delaware,2012,187,184580,11.0,5.88235294117647
0-24,Delaware,2015,203,178777,12.0,5.911330049261084
0-24,Delaware,2016,182,131772,13.0,7.142857142857142
0-24,Delaware,2017,201,232787,25.0,12.437810945273633
0-24,Delaware,2018,177,173523,16.0,9.03954802259887
0-24,Florida,2009,4067,5728295,175.0,4.3029259896729775
0-24,Florida,2010,3776,5741748,171.0,4.528601694915254
0-24,Florida,2011,3658,5766044,121.0,3.30781848004374
0-24,Florida,2012,3497,5793465,87.0,2.4878467257649413
0-24,Florida,2013,3484,5808923,84.0,2.4110218140068884
0-24,Florida,2014,3597,5836954,99.0,2.7522935779816518
0-24,Florida,2015,3907,5863852,160.0,4.095213718965959
0-24,Florida,2016,3975,5886335,246.0,6.188679245283018
0-24,Florida,2017,3938,5943771,217.0,5.510411376333164
0-24,Florida,2018,3740,5983262,187.0,5.0
0-24,Georgia,2009,2402,3453486,55.0,2.289758534554538
0-24,Georgia,2010,2250,3461709,74.0,3.288888888888889
0-24,Georgia,2011,2225,3484992,70.0,3.146067415730337
0-24,Georgia,2012,2079,3506407,50.0,2.405002405002405
0-24,Georgia,2013,2258,3507072,53.0,2.347209920283437
0-24,Georgia,2014,2342,3514851,89.0,3.800170794192997
0-24,Georgia,2015,2517,3521179,94.0,3.7346046881207786
0-24,Georgia,2016,2573,3516930,80.0,3.109211037699184
0-24,Georgia,2017,2430,3518129,100.0,4.11522633744856
0-24,Georgia,2018,2337,3516098,68.0,2.909713307659392
0-24,Hawaii,2016,266,436787,12.0,4.511278195488721
0-24,Idaho,2011,348,584993,11.0,3.1609195402298855
0-24,Idaho,2015,319,465216,11.0,3.4482758620689653
0-24,Idaho,2016,366,593736,10.0,2.73224043715847
0-24,Idaho,2018,392,609740,11.0,2.806122448979592
0-24,Illinois,2009,2854,4387412,127.0,4.44989488437281
0-24,Illinois,2010,2727,4375486,126.0,4.62046204620462
0-24,Illinois,2011,2697,4348190,127.0,4.708935854653318
0-24,Illinois,2012,2643,4318712,160.0,6.053726825576996
0-24,Illinois,2013,2433,4282878,141.0,5.7953144266337855
0-24,Illinois,2014,2565,4240634,127.0,4.951267056530215
0-24,Illinois,2015,2571,4194521,156.0,6.0676779463243875
0-24,Illinois,2016,2688,4140620,183.0,6.8080357142857135
0-24,Illinois,2017,2675,4092288,181.0,6.766355140186916
0-24,Illinois,2018,2466,4033576,172.0,6.974858069748581
0-24,Indiana,2009,1564,2258519,42.0,2.6854219948849107
0-24,Indiana,2010,1541,2258608,42.0,2.7255029201817003
0-24,Indiana,2011,1517,2255244,39.0,2.5708635464733027
0-24,Indiana,2012,1469,2253957,57.0,3.880190605854323
0-24,Indiana,2013,1556,2252440,49.0,3.1491002570694087
0-24,Indiana,2014,1482,2251310,58.0,3.913630229419703
0-24,Indiana,2015,1618,2245200,69.0,4.264524103831891
0-24,Indiana,2016,1662,2236706,69.0,4.1516245487364625
0-24,Indiana,2017,1644,2231283,115.0,6.995133819951338
0-24,Indiana,2018,1561,2224107,103.0,6.598334401024984
0-24,Iowa,2009,510,1033780,15.0,2.941176470588235
0-24,Iowa,2010,501,1033860,15.0,2.9940119760479043
0-24,Iowa,2011,532,1035020,21.0,3.9473684210526314
0-24,Iowa,2012,538,1037243,14.0,2.6022304832713754
0-24,Iowa,2013,479,1041348,24.0,5.010438413361169
0-24,Iowa,2014,515,1046391,21.0,4.077669902912621
0-24,Iowa,2015,516,1050975,16.0,3.10077519379845
0-24,Iowa,2016,612,1052828,24.0,3.9215686274509802
0-24,Iowa,2017,572,1052485,28.0,4.895104895104895
0-24,Iowa,2018,528,1049797,17.0,3.2196969696969697
0-24,Kansas,2009,688,1010747,17.0,2.4709302325581395
0-24,Kansas,2010,690,1015098,15.0,2.1739130434782608
0-24,Kansas,2011,652,1017117,11.0,1.687116564417178
0-24,Kansas,2012,657,1021246,22.0,3.34855403348554
0-24,Kansas,2013,641,1024367,17.0,2.65210608424337
0-24,Kansas,2014,625,1024801,18.0,2.88
0-24,Kansas,2016,618,1012084,14.0,2.26537216828479
0-24,Kansas,2017,641,1008807,17.0,2.65210608424337
0-24,Kansas,2018,658,1000696,13.0,1.9756838905775076
0-24,Kentucky,2009,1060,1432743,31.0,2.9245283018867925
0-24,Kentucky,2010,1015,1436172,51.0,5.024630541871921
0-24,Kentucky,2011,965,1440295,48.0,4.974093264248705
0-24,Kentucky,2012,1072,1442125,55.0,5.130597014925374
0-24,Kentucky,2013,912,1440938,56.0,6.140350877192982
0-24,Kentucky,2014,1006,1442829,51.0,5.069582504970179
0-24,Kentucky,2015,1028,1435446,58.0,5.642023346303502
0-24,Kentucky,2016,1097,1430594,76.0,6.927985414767549
0-24,Kentucky,2017,1005,1428955,76.0,7.5621890547263675
