"Notes"	"State"	"State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"< 1 year"	"1"	"1999"	"1999"	606	58787	1030.8
	"Alabama"	"01"	"< 1 year"	"1"	"2000"	"2000"	596	59101	1008.4
	"Alabama"	"01"	"< 1 year"	"1"	"2001"	"2001"	567	61537	921.4
	"Alabama"	"01"	"< 1 year"	"1"	"2002"	"2002"	539	58963	914.1
	"Alabama"	"01"	"< 1 year"	"1"	"2003"	"2003"	519	58021	894.5
	"Alabama"	"01"	"< 1 year"	"1"	"2004"	"2004"	516	58927	875.7
	"Alabama"	"01"	"< 1 year"	"1"	"2005"	"2005"	568	59424	955.8
	"Alabama"	"01"	"< 1 year"	"1"	"2006"	"2006"	571	60823	938.8
	"Alabama"	"01"	"< 1 year"	"1"	"2007"	"2007"	641	62907	1019.0
	"Alabama"	"01"	"< 1 year"	"1"	"2008"	"2008"	612	63816	959.0
	"Alabama"	"01"	"< 1 year"	"1"	"2009"	"2009"	517	61793	836.7
	"Alabama"	"01"	"< 1 year"	"1"	"2010"	"2010"	523	60056	870.9
	"Alabama"	"01"	"< 1 year"	"1"	"2011"	"2011"	487	59427	819.5
	"Alabama"	"01"	"< 1 year"	"1"	"2012"	"2012"	523	60523	864.1
	"Alabama"	"01"	"< 1 year"	"1"	"2013"	"2013"	501	58439	857.3
	"Alabama"	"01"	"< 1 year"	"1"	"2014"	"2014"	516	57854	891.9
	"Alabama"	"01"	"< 1 year"	"1"	"2015"	"2015"	495	58017	853.2
	"Alabama"	"01"	"< 1 year"	"1"	"2016"	"2016"	537	58269	921.6
	"Alabama"	"01"	"< 1 year"	"1"	"2017"	"2017"	434	57902	749.5
	"Alabama"	"01"	"< 1 year"	"1"	"2018"	"2018"	405	56739	713.8
	"Alabama"	"01"	"1-4 years"	"1-4"	"1999"	"1999"	121	236153	51.2
	"Alabama"	"01"	"1-4 years"	"1-4"	"2000"	"2000"	97	236891	40.9
	"Alabama"	"01"	"1-4 years"	"1-4"	"2001"	"2001"	98	235087	41.7
	"Alabama"	"01"	"1-4 years"	"1-4"	"2002"	"2002"	102	237083	43.0
	"Alabama"	"01"	"1-4 years"	"1-4"	"2003"	"2003"	96	237183	40.5
	"Alabama"	"01"	"1-4 years"	"1-4"	"2004"	"2004"	106	237043	44.7
	"Alabama"	"01"	"1-4 years"	"1-4"	"2005"	"2005"	87	237017	36.7
	"Alabama"	"01"	"1-4 years"	"1-4"	"2006"	"2006"	103	236399	43.6
	"Alabama"	"01"	"1-4 years"	"1-4"	"2007"	"2007"	76	237393	32.0
	"Alabama"	"01"	"1-4 years"	"1-4"	"2008"	"2008"	93	241026	38.6
	"Alabama"	"01"	"1-4 years"	"1-4"	"2009"	"2009"	104	243619	42.7
	"Alabama"	"01"	"1-4 years"	"1-4"	"2010"	"2010"	80	244901	32.7
	"Alabama"	"01"	"1-4 years"	"1-4"	"2011"	"2011"	99	244478	40.5
	"Alabama"	"01"	"1-4 years"	"1-4"	"2012"	"2012"	93	244744	38.0
	"Alabama"	"01"	"1-4 years"	"1-4"	"2013"	"2013"	83	238665	34.8
	"Alabama"	"01"	"1-4 years"	"1-4"	"2014"	"2014"	73	236851	30.8
	"Alabama"	"01"	"1-4 years"	"1-4"	"2015"	"2015"	78	234956	33.2
	"Alabama"	"01"	"1-4 years"	"1-4"	"2016"	"2016"	74	234296	31.6
	"Alabama"	"01"	"1-4 years"	"1-4"	"2017"	"2017"	93	235652	39.5
	"Alabama"	"01"	"1-4 years"	"1-4"	"2018"	"2018"	89	236464	37.6
	"Alabama"	"01"	"5-9 years"	"5-9"	"1999"	"1999"	86	315749	27.2
	"Alabama"	"01"	"5-9 years"	"5-9"	"2000"	"2000"	55	315345	17.4
	"Alabama"	"01"	"5-9 years"	"5-9"	"2001"	"2001"	67	307526	21.8
	"Alabama"	"01"	"5-9 years"	"5-9"	"2002"	"2002"	61	302632	20.2
	"Alabama"	"01"	"5-9 years"	"5-9"	"2003"	"2003"	63	299148	21.1
