State,Total Providers,Total Rx,Total Opioid Rx,Average Opioid Rx,Number of Top Providers
AK,1623,1062952,75776,7.12882613702218,19
AL,11365,25804989,2042805,7.916318042220441,146
AR,6802,16607909,1124700,6.772074678395697,86
AZ,16558,22004918,1534577,6.973791040711899,285
CA,85888,123983374,6702051,5.405604625665374,602
CO,14406,15259860,1108954,7.267130891109093,121
CT,11854,14270680,623160,4.366715531425272,71
DC,2968,1608948,75169,4.671934705161385,7
DE,2462,3431363,218573,6.369859440694557,47
FL,53917,94773889,5511391,5.815305310516486,682
GA,21427,42915089,2758258,6.427245205060626,280
HI,3021,3473916,151575,4.363231580729067,15
IA,7832,15347778,714914,4.658094481168544,37
ID,4019,5731145,435492,7.598691012005454,55
IL,32143,46129891,2300359,4.986699404947651,218
IN,16048,30682904,1978504,6.4482292810354584,210
KS,7422,12898015,808459,6.268088539205452,53
KY,12699,28416364,1639196,5.7684931119266345,153
LA,11859,23486761,1475626,6.282799062842254,134
MA,24564,30837308,1218098,3.9500789109088252,86
MD,15612,16460284,1019997,6.1967156824268645,233
ME,4577,6446340,346594,5.376601296239417,24
MI,28999,45545415,3144442,6.903970465523258,259
MN,15739,20258257,979380,4.834473173086905,79
MO,16429,32946586,1944579,5.902217000571774,141
MS,6844,16597418,1027717,6.192029386739552,106
MT,2883,3898030,252187,6.469601311431672,13
NC,25306,48368581,3019099,6.241859772565997,411
ND,2187,3456275,145289,4.203629630165424,13
NE,4964,8779797,430476,4.903029079146135,20
NH,4228,5146411,259244,5.037374589786941,36
NJ,22085,31349715,1354408,4.320319977390544,246
NM,5224,6589027,417682,6.3390543095361425,33
NV,5591,8547225,687091,8.038761118374676,104
NY,66410,83809973,2709145,3.232485231799323,291
OH,32411,57593635,2947770,5.11822183128396,353
OK,8861,16130917,1255314,7.7820374377972446,133
OR,12129,15441920,1086326,7.034915347314323,77
PA,42265,67962255,3240116,4.767522796293325,311
RI,3464,5594419,200061,3.5760818058139727,11
SC,11506,23781802,1471884,6.189118890149704,149
SD,2449,3879303,201088,5.183611592082392,18
TN,18431,36793874,2721096,7.395513720572071,425
TX,51253,83270413,4976805,5.976678655358657,560
UT,5924,7009249,557570,7.954775183475434,88
VA,18398,28078636,1509596,5.376315288249757,156
VT,1954,2497494,130314,5.217790313009761,3
WA,19187,21685155,1527848,7.045594094208687,130
WI,15511,23665704,1322537,5.588411821596349,141
WV,5431,11407158,619598,5.431659664922674,34
WY,1309,1700999,101340,5.957675460126667,4
